simplified	traditional_in_level_2	traditional_in_level_1	level_1_order	first_level_2_mapping
报纸	報紙	報紙	1133	3523_1
不断	不斷	不斷	901	3523_1
记录	記錄	記錄	2280	3523_1
死亡	死亡	死亡	897	3523_1
会议	會議	會議	389	3537_1
推荐	推薦	推薦	1545	3537_1
中华	中華	中華	1278	3537_1
民国	民國	民國	345	3537_1
宪法	憲法	憲法	1820	3537_1
一种	一種	一種	184	3550_1
动物	動物	動物	172	3550_1
一个	一個	一個	5	3551_1
无论	無論	無論	472	3554_1
出于	出於	出於	2573	3554_1
心理	心理	心理	2314	3554_1
明星	明星	明星	2640	3554_1
不可	不可	不可	2666	3554_1
他们	他們	他們	144	3555_1
开始	開始	開始	83	3555_1
没有	沒有	沒有	425	3556_1
出现	出現	出現	1410	3557_1
崇拜	崇拜	崇拜	2277	3557_1
训练	訓練	訓練	385	3562_1
力量	力量	力量	693	3562_1
反应	反應	反應	1212	3562_1
速度	速度	速度	1248	3562_1
无法	無法	無法	86	3562_1
时候	時候	時候	290	3575_1
城区	城區	城區	2665	3584_1
还有	還有	還有	417	3584_1
材料	材料	材料	1560	3597_1
化学	化學	化學	1584	3597_1
物质	物質	物質	1320	3597_1
描写	描寫	描寫	371	3608_1
状态	狀態	狀態	1010	3608_1
真正	真正	真正	431	3618_1
表示	表示	表示	2135	3620_1
才能	才能	才能	2402	3630_1
烦恼	煩惱	煩惱	1812	3630_1
爱情	愛情	愛情	1357	3631_1
说法	說法	說法	1128	3632_1
镇压	鎮壓	鎮壓	2730	3634_1
然而	然而	然而	433	3645_1
情况	情況	情況	965	3645_1
网络	網路	網絡	570	3645_1
这个	這個	這個	95	3646_1
问题	問題	問題	369	3646_1
首先	首先	首先	221	3646_1
我们	我們	我們	45	3646_1
就要	就要	就要	2176	3646_1
古代	古代	古代	378	3649_1
记载	記載	記載	1892	3649_1
不是	不是	不是	397	3655_1
以前	以前	以前	133	3655_1
样子	樣子	樣子	996	3655_1
经济	經濟	經濟	829	3661_0
向日葵	向日葵	向日葵	604	3661_0
植物	植物	植物	1198	3661_1
面积	面積	面積	2014	3676_1
全国	全國	全國	294	3676_1
应该	應該	應該	138	3686_1
取消	取消	取消	2699	3686_1
旅行	旅行	旅行	94	3686_1
赠送	贈送	贈送	2761	3687_1
城市	城市	城市	113	3691_1
夺取	奪取	奪取	489	3691_1
政权	政權	政權	1761	3691_1
伟大	偉大	偉大	101	3691_1
称为	稱為	稱為	679	3696_1
文字	文字	文字	1589	3700_1
传来	傳來	傳來	522	3702_1
黄莺	黃鶯	黃鶯	1928	3702_1
影响	影響	影響	581	3708_1
随着	隨著	隨著	1284	3708_1
中国	中國	中國	288	3708_1
可能	可能	可能	773	3715_1
多个	多個	多個	189	3717_1
不同	不同	不同	690	3719_1
进食	進食	進食	2559	3719_1
并不	並不	並不	37	3719_1
猎物	獵物	獵物	2794	3719_1
当时	當時	當時	518	3721_1
每月	每月	每月	1648	3721_1
完全	完全	完全	1205	3721_1
可以	可以	可以	788	3721_1
生活	生活	生活	455	3721_1
实验	實驗	實驗	2469	3722_1
严格	嚴格	嚴格	1998	3722_1
管理	管理	管理	1166	3722_1
通常	通常	通常	1028	3748_1
不够	不夠	不夠	511	3748_1
印度	印度	印度	77	3752_1
烹饪	烹飪	烹飪	78	3752_1
文化	文化	文化	79	3752_1
丰富	豐富	豐富	80	3752_1
地区	地區	地區	81	3752_1
建筑	建築	建築	1008	3756_1
中央	中央	中央	2109	3756_1
四周	四周	四周	494	3756_1
不少	不少	不少	998	3759_1
二十	二十	二十	1111	3761_1
人尽皆知	人盡皆知	人盡皆知	109	3765_1
地方	地方	地方	627	3777_1
经常	經常	經常	649	3781_1
思考	思考	思考	2677	3781_1
为什么	為什麼	為什麼	1245	3781_1
茶叶	茶葉	茶葉	287	3781_1
不能	不能	不能	1045	3781_1
这种	這種	這種	230	3791_1
具有	具有	具有	110	3791_1
尽管	儘管	儘管	734	3795_1
父母	父母	父母	639	3795_1
始终	始終	始終	1706	3795_1
非常	非常	非常	1098	3795_1
通过	透過	通過	463	3797_1
诋毁	詆毀	詆譭	464	3797_1
别人	別人	別人	465	3797_1
得不到	得不到	得不到	466	3797_1
什么	什麼	什麼	44	3797_1
皇帝	皇帝	皇帝	645	3802_1
消息	訊息	訊息	598	3802_1
这些	這些	這些	817	3805_1
继续	繼續	繼續	87	3805_1
到达	到達	到達	1899	3805_1
喜欢	喜歡	喜歡	240	3807_1
因为	因為	因為	84	3807_1
而是	而是	而是	2591	3807_1
为人	為人	為人	969	3808_1
喜爱	喜愛	喜愛	327	3808_1
古老	古老	古老	1386	3812_1
书记	書記	書記	225	3818_1
带来	帶來	帶來	761	3822_1
纤维	纖維	纖維	766	3824_1
产生	產生	產生	2315	3824_1
布料	布料	布料	1119	3824_1
最后	最後	最後	706	3824_1
加工	加工	加工	2244	3824_1
大学	大學	大學	1469	3825_1
演绎	演繹	演繹	1514	3841_1
重庆	重慶	重慶	658	3857_1
北方	北方	北方	2704	3870_1
到了	到了	到了	922	3870_1
三十	三十	三十	2322	3870_1
还是	還是	還是	90	3870_1
不已	不已	不已	2680	3874_1
出来	出來	出來	396	3878_1
已经	已經	已經	15	3881_1
长满	長滿	長滿	857	3881_1
石头	石頭	石頭	236	3881_1
成为	成為	成為	411	3890_1
政治	政治	政治	2370	3890_1
中心	中心	中心	2815	3890_1
中的	中的	中的	166	3893_1
德国	德國	德國	1115	3895_1
常见	常見	常見	243	3895_1
犹如	猶如	猶如	993	3898_1
那么	那麼	那麼	642	3898_1
老师	老師	老師	145	3918_1
学生	學生	學生	888	3918_1
不要	不要	不要	19	3918_1
紧张	緊張	緊張	1972	3918_1
敌军	敵軍	敵軍	894	3924_1
不动	不動	不動	733	3924_1
公园	公園	公園	372	3935_1
广场	廣場	廣場	46	3935_1
含有	含有	含有	1655	3939_1
氧化	氧化	氧化	1211	3942_1
重要	重要	重要	326	3960_1
自己	自己	自己	440	3963_1
好好	好好	好好	2225	3963_1
实践	實踐	實踐	2404	3963_1
一声	一聲	一聲	238	3971_1
清洗	清洗	清洗	2330	3978_1
去年	去年	去年	2197	3983_1
哈尔滨	哈爾濱	哈爾濱	2633	3983_1
闻名	聞名	聞名	368	3983_1
如何	如何	如何	675	3991_1
能够	能夠	能夠	620	3991_1
免费	免費	免費	2760	3991_1
一些	一些	一些	1151	3992_1
牙齿	牙齒	牙齒	1249	3993_1
之中	之中	之中	239	3997_1
食物	食物	食物	767	3999_1
