number	radical	english	hanyu_pinyin	strokes	alternative_forms
1	一	one	yī	1	
2	丨	line	gǔn	1	
3	丶	dot	zhǔ	1	
4	丿	slash	piě	1	
5	乙	second	yǐ	1	
6	亅	hook	jué	1	
7	二	two	èr	2	
8	亠	lid	tóu	2	
9	人	person	rén	2	亻
10	儿	legs	ér	2	
11	入	enter	rù	2	
12	八	eight	bā	2	
13	冂	down box	jiōng	2	
14	冖	cover	mì	2	
15	冫	ice	bīng	2	
16	几	table	jī	2	
17	凵	open box	kǎn	2	
18	刀	knife	dāo	2	刂
19	力	power	lì	2	
20	勹	wrap	bāo	2	
21	匕	ladle	bǐ	2	
22	匚	right open box	fāng	2	
23	匸	hiding enclosure	xì	2	
24	十	ten	shí	2	
25	卜	divination	bǔ	2	
26	卩	seal	jié	2	
27	厂	cliff	hǎn	2	
28	厶	private	sī	2	
29	又	again	yòu	2	
30	口	mouth	kǒu	3	
31	囗	enclosure	wéi	3	
32	土	earth	tǔ	3	
33	士	scholar	shì	3	
34	夂	go	zhǐ	3	
35	夊	go slowly	suī	3	
36	夕	night	xī	3	
37	大	big	dà	3	
38	女	woman	nǚ	3	
39	子	child	zǐ	3	
40	宀	roof	mián	3	
41	寸	inch	cùn	3	
42	小	small	xiǎo	3	⺌
43	尢	lame	wāng	3	
44	尸	corpse	shī	3	
45	屮	sprout	chè	3	
46	山	mountain	shān	3	
47	巛	river	chuān	3	
48	工	work	gōng	3	
49	己	oneself	jǐ	3	
50	巾	towel	jīn	3	
51	干	dry	gān	3	
52	幺	short thread	yāo	3	
53	广	shelter	yǎn	3	
54	廴	stride	yǐn	3	
55	廾	hands joined	gǒng	3	
56	弋	shoot with a bow	yì	3	
57	弓	bow	gōng	3	
58	彐	snout	jì	3	
59	彡	hair	shān	3	
60	彳	step	chì	3	
61	心	heart	xīn	4	忄、⺗
62	戈	spear	gē	4	
63	戶	door	hù	4	
64	手	hand	shǒu	4	扌
65	支	branch	zhī	4	
66	攴	rap	pū	4	攵
67	文	script	wén	4	
68	斗	dipper	dǒu	4	
69	斤	axe	jīn	4	
70	方	square	fāng	4	
71	无	not	wú	4	
72	日	sun	rì	4	
73	曰	say	yuē	4	
74	月	moon	yuè	4	
75	木	tree	mù	4	
76	欠	lack	qiàn	4	
77	止	stop	zhǐ	4	
78	歹	death	dǎi	4	
79	殳	weapon	shū	4	
80	毋	do not	wú	4	
81	比	compare	bǐ	4	
82	毛	fur	máo	4	
83	氏	clan	shì	4	
84	气	steam	qì	4	
85	水	water	shuǐ	4	氵、氺
86	火	fire	huǒ	4	灬
87	爪	claw	zhǎo	4	爫
88	父	father	fù	4	
89	爻	lines on a trigram	yáo	4	
90	爿	half of a tree trunk	qiáng	4	
91	片	slice	piàn	4	
